schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
135855,90270,64733,Los Angeles Unified,Maywood Center for Enriched Studies,113,101,89.4,,,
137562,90011,64733,Los Angeles Unified,Matrix for Success Academy,103,3,2.9,,,
137612,91311,64733,Los Angeles Unified,Valley International Preparatory High,56,53,94.6,,,
1930387,90021,64733,Los Angeles Unified,Central High,274,43,15.7,11.2,178.0,20.0
1930650,90744,64733,Los Angeles Unified,Phineas Banning Senior High,551,496,90.0,45.3,481.0,218.0
1930692,90002,64733,Los Angeles Unified,Thomas Riley High,25,9,36.0,13.8,29.0,4.0
1930866,90201,64733,Los Angeles Unified,Bell Senior High,586,501,85.5,49.5,639.0,316.0
1930924,90026,64733,Los Angeles Unified,Belmont Senior High,290,168,57.9,49.1,169.0,83.0
1930940,91335,64733,Los Angeles Unified,John R. Wooden High,47,11,23.4,13.0,23.0,3.0
1931047,91406,64733,Los Angeles Unified,Birmingham Community Charter High,645,601,93.2,,,
1931476,91303,64733,Los Angeles Unified,Canoga Park Senior High,342,287,83.9,42.3,239.0,101.0
1931526,90745,64733,Los Angeles Unified,Carson Senior High,332,307,92.5,53.5,342.0,183.0
1931708,91311,64733,Los Angeles Unified,Chatsworth Charter High,384,347,90.4,,,
1931716,91406,64733,Los Angeles Unified,Lake Balboa College Preparatory Magnet K-12,29,27,93.1,,,
1931864,91335,64733,Los Angeles Unified,Grover Cleveland Charter High,768,681,88.7,,,
1931930,90744,64733,Los Angeles Unified,Dan M. Issacs Avalon High,34,6,17.6,,,
1932383,90016,64733,Los Angeles Unified,Susan Miller Dorsey Senior High,222,147,66.2,43.1,197.0,85.0
1932540,90041,64733,Los Angeles Unified,Eagle Rock High,371,356,96.0,81.8,423.0,346.0
1932623,91367,64733,Los Angeles Unified,El Camino Real Charter High,856,748,87.4,,,
1932847,90035,64733,Los Angeles Unified,Los Angeles Center for Enriched Studies,218,213,97.7,79.6,216.0,172.0
1932888,90012,64733,Los Angeles Unified,Downtown Business High,218,214,98.2,67.1,243.0,163.0
1932920,90046,64733,Los Angeles Unified,Fairfax Senior High,358,323,90.2,59.2,431.0,255.0
1932987,91352,64733,Los Angeles Unified,John H. Francis Polytechnic,583,551,94.5,53.2,588.0,313.0
1933001,90059,64733,Los Angeles Unified,King/Drew Medical Magnet High,322,320,99.4,74.2,349.0,259.0
1933043,90042,64733,Los Angeles Unified,Benjamin Franklin Senior High,310,276,89.0,64.8,290.0,188.0
1933118,90003,64733,Los Angeles Unified,John C. Fremont Senior High,520,438,84.2,44.3,370.0,164.0
1933233,91335,64733,Los Angeles Unified,Sherman Oaks Center for Enriched Studies,248,240,96.8,69.5,239.0,166.0
1933241,90248,64733,Los Angeles Unified,Gardena Senior High,314,272,86.6,53.3,291.0,155.0
1933381,90022,64733,Los Angeles Unified,James A. Garfield Senior High,632,602,95.3,47.4,549.0,260.0
1933746,91344,64733,Los Angeles Unified,Granada Hills Charter,1172,1109,94.6,,,
1933795,91401,64733,Los Angeles Unified,Ulysses S. Grant Senior High,492,421,85.6,40.6,382.0,155.0
1933852,90034,64733,Los Angeles Unified,Alexander Hamilton Senior High,639,560,87.6,68.3,542.0,370.0
1934033,90028,64733,Los Angeles Unified,Hollywood Senior High,373,319,85.5,55.8,312.0,174.0
1934157,90255,64733,Los Angeles Unified,Huntington Park Senior High,367,308,83.9,50.0,376.0,188.0
1934371,90011,64733,Los Angeles Unified,Thomas Jefferson Senior High,160,127,79.4,51.5,130.0,67.0
1934454,90002,64733,Los Angeles Unified,David Starr Jordan Senior High,133,101,75.9,26.5,83.0,22.0
1935121,90031,64733,Los Angeles Unified,Abraham Lincoln Senior High,255,226,88.6,66.2,213.0,141.0
1935352,90019,64733,Los Angeles Unified,Los Angeles Senior High,297,226,76.1,50.0,242.0,121.0
1935519,90037,64733,Los Angeles Unified,Manual Arts Senior High,357,282,79.0,47.3,281.0,133.0
1935568,90027,64733,Los Angeles Unified,John Marshall Senior High,548,500,91.2,65.1,519.0,338.0
1935865,91343,64733,Los Angeles Unified,James Monroe High,522,378,72.4,45.3,391.0,177.0
1936160,90710,64733,Los Angeles Unified,Nathaniel Narbonne Senior High,472,426,90.3,53.5,469.0,251.0
1936350,91601,64733,Los Angeles Unified,North Hollywood Senior High,611,568,93.0,52.9,544.0,288.0
1937226,91335,64733,Los Angeles Unified,Reseda Charter High,325,280,86.2,,,
1937424,90033,64733,Los Angeles Unified,Theodore Roosevelt Senior High,301,245,81.4,37.6,250.0,94.0
1937622,91340,64733,Los Angeles Unified,San Fernando Senior High,457,401,87.7,53.3,445.0,237.0
1937838,90731,64733,Los Angeles Unified,San Pedro Senior High,523,476,91.0,52.3,533.0,279.0
1938307,90280,64733,Los Angeles Unified,South Gate Senior High,558,495,88.7,51.0,549.0,280.0
1938554,91342,64733,Los Angeles Unified,Sylmar Charter High,335,310,92.5,,,
1938612,91364,64733,Los Angeles Unified,Taft Charter High,504,461,91.5,,,
1938885,90025,64733,Los Angeles Unified,University High School Charter,332,298,89.8,,,
1938968,91411,64733,Los Angeles Unified,Van Nuys Senior High,648,546,84.3,46.4,517.0,240.0
1939040,90066,64733,Los Angeles Unified,Venice Senior High,494,398,80.6,65.2,391.0,255.0
1939107,91042,64733,Los Angeles Unified,Verdugo Hills Senior High,291,274,94.2,61.8,285.0,176.0
1939305,90047,64733,Los Angeles Unified,George Washington Preparatory High,240,194,80.8,42.3,156.0,66.0
1939479,90045,64733,Los Angeles Unified,WESM Health/Sports Medicine,208,193,92.8,69.8,212.0,148.0
1939859,90032,64733,Los Angeles Unified,Woodrow Wilson Senior High,316,283,89.6,54.0,300.0,162.0
1939941,91344,64733,Los Angeles Unified,John F. Kennedy High,521,490,94.0,52.6,441.0,232.0
1939941,91344,64733,Los Angeles Unified,John F. Kennedy High,521,490,94.0,77.0,591.0,455.0
1995448,90033,64733,Los Angeles Unified,Francisco Bravo Medical Magnet High,444,441,99.3,68.5,390.0,267.0
1995794,90044,64733,Los Angeles Unified,Youth Opportunities Unlimited,151,73,48.3,15.9,107.0,17.0
1995836,90272,64733,Los Angeles Unified,Palisades Charter High,736,696,94.6,,,
1996115,90063,64733,Los Angeles Unified,City of Angels,671,246,36.7,26.7,285.0,76.0
