zip,city,county,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90201,Bell,Los Angeles County,145914.91666666666,142224.0,147476.58333333334,153716.33333333334,163589.91666666666,174965.33333333334,196591.66666666666,230500.33333333334,291262.1666666667,379003.5833333333,452174.8333333333,474234.5833333333,392570.75,297023.4166666667,269408.0,255573.5,257606.0,296902.6666666667,332001.5,357689.1666666667,386790.0,420115.5833333333,455649.25,466956.1666666667,505033.75,533408.0
90004,Los Angeles,Los Angeles County,123027.25,126667.75,146679.83333333334,168311.25,191020.91666666666,212745.66666666666,242791.0,291888.9166666667,359886.75,423507.5,480811.1666666667,464696.0833333333,433065.25,413984.3333333333,432364.9166666667,449471.4166666667,472834.8333333333,557349.1666666666,643740.0833333334,759083.0,921160.5,1074584.0833333333,1293349.25,1448250.25,1592103.3333333333,1667804.5
91342,Los Angeles,Los Angeles County,165060.58333333334,162320.66666666666,171150.33333333334,186541.41666666666,205415.41666666666,226640.33333333334,261896.08333333334,317571.9166666667,405147.5,503911.25,579634.9166666666,578059.0,460409.5833333333,338016.25,332271.25,320292.3333333333,313811.9166666667,369919.75,408870.0833333333,436409.5833333333,469032.6666666667,503929.75,543671.6666666666,552520.9166666666,601103.0833333334,643734.0
90706,Bellflower,Los Angeles County,158943.41666666666,159025.33333333334,167467.66666666666,179263.33333333334,195813.75,214827.25,247825.75,294978.75,372081.8333333333,466871.9166666667,535998.0833333334,528843.0,426870.0833333333,339704.25,339424.0833333333,323110.0,319632.0,366155.1666666667,401128.4166666667,427037.9166666667,460005.9166666667,496158.6666666667,533214.5833333334,537834.0833333334,576386.9166666666,614205.5
92627,Costa Mesa,Orange County,236985.0,246013.75,275855.8333333333,304866.75,343980.6666666667,394474.5,453622.0,545758.0,703130.6666666666,823309.0833333334,909227.9166666666,862443.5833333334,709921.9166666666,617079.5,613172.0833333334,583006.0833333334,606333.75,730055.5833333334,784368.5,812897.4166666666,859858.25,905329.3333333334,957731.5,974385.5,1016836.5,1075915.5
90025,Los Angeles,Los Angeles County,215629.75,227958.41666666666,269253.0,301880.0,328758.1666666667,365631.0833333333,407119.3333333333,476801.75,572908.75,673791.0,751086.3333333334,733857.0833333334,665068.75,631169.4166666666,657976.8333333334,627684.5,628091.3333333334,750382.75,846402.5,981446.0,1148095.6666666667,1304628.1666666667,1481103.5833333333,1547982.5833333333,1679512.0833333333,1695998.0
90011,Los Angeles,Los Angeles County,,,,,,,,,,,,,247971.0,226907.08333333334,209208.5,206105.5,213399.58333333334,259133.41666666666,279004.25,306275.5833333333,340334.4166666667,373636.0833333333,414353.3333333333,434237.5,482961.3333333333,511100.5
90027,Los Angeles,Los Angeles County,125007.25,131638.25,152651.91666666666,169349.16666666666,188802.0,209157.08333333334,242338.25,283129.9166666667,341905.0833333333,410565.6666666667,450489.0833333333,454621.25,419909.0,404563.5833333333,436102.5833333333,445951.3333333333,498812.4166666667,617878.25,699595.5833333334,829583.75,984143.4166666666,1153300.0,1370845.25,1527941.25,1747322.9166666667,1792739.5
91335,Los Angeles,Los Angeles County,155807.58333333334,155108.83333333334,165465.75,184631.16666666666,203648.33333333334,227693.91666666666,265264.3333333333,320124.1666666667,408320.0833333333,504326.8333333333,576974.5833333334,565090.75,448334.8333333333,347855.0833333333,354349.5833333333,334741.8333333333,330079.5833333333,395914.75,441349.0833333333,461636.5833333333,496311.0,532091.75,574087.6666666666,581250.9166666666,629170.1666666666,672532.0
90731,Los Angeles,Los Angeles County,188545.75,197439.33333333334,217657.66666666666,244634.91666666666,267289.75,292324.3333333333,330167.25,392402.0,489654.9166666667,593655.5,656184.5833333334,630422.9166666666,531155.0,451765.1666666667,448918.75,412825.75,396347.9166666667,464809.9166666667,505967.25,528225.25,558061.4166666666,598857.8333333334,632783.9166666666,644713.4166666666,693171.3333333334,730184.5
93550,Palmdale,Los Angeles County,,,,,,,,,,,,,149313.0,136269.75,133416.58333333334,129621.83333333333,127550.5,156512.16666666666,183921.0,200757.75,223150.33333333334,251015.33333333334,278044.5833333333,289210.4166666667,312206.25,337942.0
93536,Lancaster,Los Angeles County,119628.25,117136.58333333333,124420.83333333333,137496.08333333334,147346.66666666666,159043.33333333334,178338.25,209435.25,262561.75,326479.25,370748.25,361653.8333333333,281048.5,206364.5,201889.41666666666,190084.75,187234.16666666666,227218.08333333334,261309.41666666666,276641.6666666667,301679.8333333333,330282.0,360934.3333333333,368623.8333333333,395691.4166666667,428781.5
92630,Lake Forest,Orange County,225202.75,231471.58333333334,258921.16666666666,293407.0833333333,324529.9166666667,365113.9166666667,411530.6666666667,487325.5833333333,620428.8333333334,724301.4166666666,777968.1666666666,734305.5833333334,608372.6666666666,544605.5,554065.5,523572.8333333333,513258.3333333333,614715.0,663299.25,684989.5,713190.25,746114.0,781687.9166666666,779766.5,808445.4166666666,858970.5
